MWB,REDU
Agilent 5973,Agilent GC 6890|MS:5973
Agilent 5973N,Agilent GC 6890|MS:5973
Agilent 5977B,Agilent GC 7820A-MS 5977B|not available
Agilent 5997B,Agilent GC 7820A-MS 5977B|not available
Agilent 6490 QQQ,6490 Triple Quadrupole LC/MS|MS:1002446
Agilent 6490 QQQ Agilent 6490,6490 Triple Quadrupole LC/MS|MS:1002446
Agilent 6490A QQQ,6490 Triple Quadrupole LC/MS|MS:1002446
Agilent 6540 QTOF,6540 Q-TOF LC/MS|MS:1002789
Agilent 6545,6545 Q-TOF LC/MS|MS:1002791
Agilent 6545 LC/QTOF,6545 Q-TOF LC/MS|MS:1002791
Agilent 6545 QTOF,6545 Q-TOF LC/MS|MS:1002791
Agilent 6545 QToF,6545 Q-TOF LC/MS|MS:1002791
Agilent 6545 Q-TOF,6545 Q-TOF LC/MS|MS:1002791
Agilent 6545XT QTOF,6545 Q-TOF LC/MS|MS:1002791
Agilent 6890,Agilent GC 6890|MS:5973
Agilent qTOF 6545,6545 Q-TOF LC/MS|MS:1002791
Bruker Daltonics maXis-II UHR-ESI-QqTOF,Bruker Daltonics maXis series|MS:1001547
Bruker Impact HD,impact HD|MS:1002667
Bruker Impact II HD,impact II|MS:1002666
Bruker impact II UHPLC-QTOF system,impact II|MS:1002666
Bruker maXis II,Bruker Daltonics maXis series|MS:1001547
Bruker Maxis II ETD,Bruker Daltonics maXis series|MS:1001547
Bruker maXis Impact qTOF,Bruker Daltonics maXis series|MS:1001547
Bruker MicrOTOF II,Bruker Daltonics micrOTOF series|MS:1001536
Bruker MicrOTOF II spectrometer,Bruker Daltonics micrOTOF series|MS:1001536
Bruker micrOTOFQ II,Bruker Daltonics micrOTOF series|MS:1001536
Q Exactive,Q Exactive|MS:1001911
Q Exactive Focus,Q Exactive|MS:1001911
Thermo Exactive,Q Exactive|MS:1001911
Thermo Exactive Orbitrap,Q Exactive|MS:1001911
Thermo Exactive Plus Orbitrap,Q Exactive Plus|MS:1002634
Thermo LTQ,LTQ Orbitrap|MS:1000449
Thermo LTQ Orbitrap Velos,LTQ Orbitrap Velos|MS:1001742
Thermo LTQ XL,LTQ XL|MS:1000854
Thermo LTQ-Orbitrap Velos Pro,LTQ Orbitrap Velos|MS:1001742
Thermo Q Exactive Orbitrap,Q Exactive|MS:1001911
Thermo Q Exactive Orbitrap Thermo Q Exactive Orbitrap,Q Exactive|MS:1001911
Thermo Q Exactive Orbitrap Thermo Scientific- Q Exactive,Q Exactive|MS:1001911
Thermo Q Exactive Orbitrap Thermo Scientific- Q Exactive:,Q Exactive|MS:1001911
Thermo Q Exactive Orbitrap Thermo Scientific Q-Exactive,Q Exactive|MS:1001911
Thermo Q Exactive Plus Orbitrap,Q Exactive Plus|MS:1002634
Thermo Q-Exactive,Q Exactive|MS:1001911
Thermo Scientific TSQ Altis Triple Quadrupole Mass Spectrometer,TSQ|MS:1000750
Thermo TQS Vantage,TSQ|MS:1000750
Thermo Trace DSQ,TSQ|MS:1000750
Thermo TSQ Quantum Ultra,TSQ|MS:1000750
Thermo TSQ8000_evo,TSQ|MS:1000750
Thermo Velos LTQ Orbitrap,LTQ Orbitrap Velos|MS:1001742
Thermo Velos Pro Linear Ion Trap,LTQ Orbitrap Velos|MS:1001742
Thermo Velos Pro Orbitrap,LTQ Orbitrap Velos|MS:1001742
ThermoFisher Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometry (QE),Q Exactive|MS:1001911
Waters Synapt G2 QTOF,Xevo G2 Tof|MS:1001784
Waters Synapt G2 S QTOF,Xevo G2-S QTof|MS:1002276
Waters Synapt G2 Si QTOF,Xevo G2-S QTof|MS:1002276
Waters Synapt G2 XS QTOF,Xevo G2 XS Tof|MS:1002729
Waters Synapt-G2-Si,Xevo G2-S QTof|MS:1002276
Waters Synapt-HDMS,Synapt HDMS|MS:1001781
Waters TQ-S MS,Xevo TQ-S|1001792
Waters Xebo-G2-S,Xevo G2-S QTof|MS:1002276
Waters Xevo G2 XS QTof,Xevo G2 XS Tof|MS:1002729
Waters Xevo G2 XS QTOF,Xevo G2 XS Tof|MS:1002729
Waters Xevo G2-XS,Xevo G2 XS Tof|MS:1002729
Waters Xevo-G2-S,Xevo G2-S QTof|MS:1002276
Waters Xevo-G2-XS,Xevo G2 XS Tof|MS:1002729
Waters Xevo-TQ-S,Xevo TQ-S|MS:1001792
"Xevo G2-XS, Waters",Xevo G2 XS Tof|MS:1002729
6540 Q-TOF LC/MS|MS:1002789,6540 Q-TOF LC/MS|MS:1002789
impact HD|MS:1002667,impact HD|MS:1002667
impact|MS:1002077,impact|MS:1002077
LTQ Orbitrap XL|MS:1000556,LTQ Orbitrap XL|MS:1000556
maXis II|MS:1003004,maXis II|MS:1003004
micrOTOF-Q II|MS:1000704,micrOTOF-Q II|MS:1000704
not specified,not specified
Q Exactive Plus|MS:1002634,Q Exactive Plus|MS:1002634
Q Exactive|MS:1001911,Q Exactive|MS:1001911
Xevo G2 XS Tof|MS:1002729,Xevo G2 XS Tof|MS:1002729
Agilent GC 6890-MS 5973,Agilent GC 6890-MS 5973
Xevo TQ-S|1001792,Xevo TQ-S|1001792
6430 Triple Quadrupole LC/MS|MS:1002799,6430 Triple Quadrupole LC/MS|MS:1002799
6490 Triple Quadrupole LC/MS|MS:1002446,6490 Triple Quadrupole LC/MS|MS:1002446
Bruker Daltonics esquire series|MS:1001533,Bruker Daltonics esquire series|MS:1001533
Bruker Daltonics maXis series|MS:1001547,Bruker Daltonics maXis series|MS:1001547
Bruker Daltonics micrOTOF series|MS:1001536,Bruker Daltonics micrOTOF series|MS:1001536
LTQ Orbitrap Velos|MS:1001742,LTQ Orbitrap Velos|MS:1001742
